year,id,name,works_count,country,fetch_date
2005,2208,Electrical and Electronic Engineering,30171,CN,2025-11-28 17:21:48
2005,2207,Control and Systems Engineering,29965,CN,2025-11-28 17:21:48
2005,1702,Artificial Intelligence,20655,CN,2025-11-28 17:21:48
2005,1312,Molecular Biology,18471,CN,2025-11-28 17:21:48
2005,2210,Mechanical Engineering,16860,CN,2025-11-28 17:21:48
2005,2505,Materials Chemistry,16580,CN,2025-11-28 17:21:48
2005,2211,Mechanics of Materials,13338,CN,2025-11-28 17:21:48
2005,2204,Biomedical Engineering,12441,CN,2025-11-28 17:21:48
2005,1707,Computer Vision and Pattern Recognition,8156,CN,2025-11-28 17:21:48
2005,2202,Aerospace Engineering,7369,CN,2025-11-28 17:21:48
2005,1710,Information Systems,7292,CN,2025-11-28 17:21:48
2005,1705,Computer Networks and Communications,6379,CN,2025-11-28 17:21:48
2005,3107,"Atomic and Molecular Physics, and Optics",5796,CN,2025-11-28 17:21:48
2005,2206,Computational Mechanics,4394,CN,2025-11-28 17:21:48
2005,2213,"Safety, Risk, Reliability and Quality",3872,CN,2025-11-28 17:21:48
2005,2205,Civil and Structural Engineering,3693,CN,2025-11-28 17:21:48
2005,2504,"Electronic, Optical and Magnetic Materials",3366,CN,2025-11-28 17:21:48
2005,1605,Organic Chemistry,3010,CN,2025-11-28 17:21:48
2005,2507,Polymers and Plastics,2823,CN,2025-11-28 17:21:48
2005,1711,Signal Processing,2602,CN,2025-11-28 17:21:48
2005,2212,Ocean Engineering,2385,CN,2025-11-28 17:21:48
2005,1703,Computational Theory and Mathematics,2381,CN,2025-11-28 17:21:48
2005,2209,Industrial and Manufacturing Engineering,2088,CN,2025-11-28 17:21:48
2005,2102,Energy Engineering and Power Technology,2023,CN,2025-11-28 17:21:48
2005,1110,Plant Science,1996,CN,2025-11-28 17:21:48
2005,2214,Media Technology,1793,CN,2025-11-28 17:21:48
2005,2200,General Engineering,1711,CN,2025-11-28 17:21:48
2005,1604,Inorganic Chemistry,1646,CN,2025-11-28 17:21:48
2005,1902,Atmospheric Science,1620,CN,2025-11-28 17:21:48
2005,1607,Spectroscopy,1559,CN,2025-11-28 17:21:48
2005,2502,Biomaterials,1457,CN,2025-11-28 17:21:48
2005,2503,Ceramics and Composites,1319,CN,2025-11-28 17:21:48
2005,2741,"Radiology, Nuclear Medicine and Imaging",1291,CN,2025-11-28 17:21:48
2005,2730,Oncology,1289,CN,2025-11-28 17:21:48
2005,1311,Genetics,1246,CN,2025-11-28 17:21:48
2005,2312,Water Science and Technology,1190,CN,2025-11-28 17:21:48
2005,1306,Cancer Research,1171,CN,2025-11-28 17:21:48
2005,2105,"Renewable Energy, Sustainability and the Environment",1145,CN,2025-11-28 17:21:48
2005,2203,Automotive Engineering,1046,CN,2025-11-28 17:21:48
2005,2403,Immunology,1027,CN,2025-11-28 17:21:48
2005,2746,Surgery,1027,CN,2025-11-28 17:21:48
2005,1908,Geophysics,1023,CN,2025-11-28 17:21:48
2005,1906,Geochemistry and Petrology,1013,CN,2025-11-28 17:21:48
2005,1305,Biotechnology,986,CN,2025-11-28 17:21:48
2005,3104,Condensed Matter Physics,973,CN,2025-11-28 17:21:48
2005,3109,Statistical and Nonlinear Physics,956,CN,2025-11-28 17:21:48
2005,1503,Catalysis,915,CN,2025-11-28 17:21:48
2005,1602,Analytical Chemistry,910,CN,2025-11-28 17:21:48
2005,2215,Building and Construction,907,CN,2025-11-28 17:21:48
2005,2508,"Surfaces, Coatings and Films",877,CN,2025-11-28 17:21:48
2005,1708,Hardware and Architecture,868,CN,2025-11-28 17:21:48
2005,2311,Industrial and Manufacturing Engineering,862,CN,2025-11-28 17:21:48
2005,2736,Pharmacology,840,CN,2025-11-28 17:21:48
2005,2002,Economics and Econometrics,790,CN,2025-11-28 17:21:48
2005,2740,Pulmonary and Respiratory Medicine,758,CN,2025-11-28 17:21:48
2005,1907,Geology,725,CN,2025-11-28 17:21:48
2005,1502,Bioengineering,723,CN,2025-11-28 17:21:48
2005,3304,Education,696,CN,2025-11-28 17:21:48
2005,2302,Ecological Modeling,683,CN,2025-11-28 17:21:48
2005,2804,Cellular and Molecular Neuroscience,677,CN,2025-11-28 17:21:48
2005,3312,Sociology and Political Science,666,CN,2025-11-28 17:21:48
2005,2303,Ecology,658,CN,2025-11-28 17:21:48
2005,1307,Cell Biology,641,CN,2025-11-28 17:21:48
2005,3004,Pharmacology,626,CN,2025-11-28 17:21:48
2005,1803,Management Science and Operations Research,625,CN,2025-11-28 17:21:48
2005,1106,Food Science,622,CN,2025-11-28 17:21:48
2005,2707,Complementary and alternative medicine,606,CN,2025-11-28 17:21:48
2005,2737,Physiology,604,CN,2025-11-28 17:21:48
2005,1603,Electrochemistry,594,CN,2025-11-28 17:21:48
2005,2734,Pathology and Forensic Medicine,552,CN,2025-11-28 17:21:48
2005,2705,Cardiology and Cardiovascular Medicine,519,CN,2025-11-28 17:21:48
2005,2713,Epidemiology,515,CN,2025-11-28 17:21:48
2005,1507,Fluid Flow and Transfer Processes,499,CN,2025-11-28 17:21:48
2005,3103,Astronomy and Astrophysics,498,CN,2025-11-28 17:21:48
2005,3106,Nuclear and High Energy Physics,482,CN,2025-11-28 17:21:48
2005,1704,Computer Graphics and Computer-Aided Design,477,CN,2025-11-28 17:21:48
2005,2304,Environmental Chemistry,469,CN,2025-11-28 17:21:48
2005,2604,Applied Mathematics,462,CN,2025-11-28 17:21:48
2005,2305,Environmental Engineering,412,CN,2025-11-28 17:21:48
2005,2500,General Materials Science,407,CN,2025-11-28 17:21:48
2005,1405,Management of Technology and Innovation,394,CN,2025-11-28 17:21:48
2005,1606,Physical and Theoretical Chemistry,393,CN,2025-11-28 17:21:48
2005,1910,Oceanography,391,CN,2025-11-28 17:21:48
2005,1105,"Ecology, Evolution, Behavior and Systematics",389,CN,2025-11-28 17:21:48
2005,1404,Management Information Systems,383,CN,2025-11-28 17:21:48
2005,2731,Ophthalmology,377,CN,2025-11-28 17:21:48
2005,2310,Pollution,371,CN,2025-11-28 17:21:48
2005,3108,Radiation,368,CN,2025-11-28 17:21:48
2005,2612,Numerical Analysis,350,CN,2025-11-28 17:21:48
2005,1203,Language and Linguistics,343,CN,2025-11-28 17:21:48
2005,2611,Modeling and Simulation,331,CN,2025-11-28 17:21:48
2005,2805,Cognitive Neuroscience,322,CN,2025-11-28 17:21:48
2005,2916,Nutrition and Dietetics,313,CN,2025-11-28 17:21:48
2005,2610,Mathematical Physics,298,CN,2025-11-28 17:21:48
2005,1304,Biophysics,296,CN,2025-11-28 17:21:48
2005,2306,Global and Planetary Change,295,CN,2025-11-28 17:21:48
2005,1407,Organizational Behavior and Human Resource Management,280,CN,2025-11-28 17:21:48
2005,1303,Biochemistry,279,CN,2025-11-28 17:21:48
2005,1109,Insect Science,278,CN,2025-11-28 17:21:48
2005,2739,"Public Health, Environmental and Occupational Health",269,CN,2025-11-28 17:21:48
2005,3305,"Geography, Planning and Development",266,CN,2025-11-28 17:21:48
2005,2712,"Endocrinology, Diabetes and Metabolism",262,CN,2025-11-28 17:21:48
2005,1804,"Statistics, Probability and Uncertainty",260,CN,2025-11-28 17:21:48
2005,3105,Instrumentation,248,CN,2025-11-28 17:21:48
2005,2308,"Management, Monitoring, Policy and Law",244,CN,2025-11-28 17:21:48
2005,3504,Oral Surgery,242,CN,2025-11-28 17:21:48
2005,2613,Statistics and Probability,232,CN,2025-11-28 17:21:48
2005,2506,Metals and Alloys,225,CN,2025-11-28 17:21:48
2005,2808,Neurology,205,CN,2025-11-28 17:21:48
2005,2745,Rheumatology,204,CN,2025-11-28 17:21:48
2005,3205,Experimental and Cognitive Psychology,200,CN,2025-11-28 17:21:48
2005,3003,Pharmaceutical Science,184,CN,2025-11-28 17:21:48
2005,2716,Genetics,182,CN,2025-11-28 17:21:48
2005,1709,Human-Computer Interaction,180,CN,2025-11-28 17:21:48
2005,2732,Orthopedics and Sports Medicine,180,CN,2025-11-28 17:21:48
2005,1712,Software,176,CN,2025-11-28 17:21:48
2005,2608,Geometry and Topology,173,CN,2025-11-28 17:21:48
2005,2725,Infectious Diseases,170,CN,2025-11-28 17:21:48
2005,1103,Animal Science and Zoology,167,CN,2025-11-28 17:21:48
2005,2607,Discrete Mathematics and Combinatorics,163,CN,2025-11-28 17:21:48
2005,2307,"Health, Toxicology and Mutagenesis",161,CN,2025-11-28 17:21:48
2005,1313,Molecular Medicine,159,CN,2025-11-28 17:21:48
2005,2720,Hematology,156,CN,2025-11-28 17:21:48
2005,2723,Immunology and Allergy,154,CN,2025-11-28 17:21:48
2005,1308,Clinical Biochemistry,150,CN,2025-11-28 17:21:48
2005,2404,Microbiology,147,CN,2025-11-28 17:21:48
2005,2728,Neurology,143,CN,2025-11-28 17:21:48
2005,3207,Social Psychology,139,CN,2025-11-28 17:21:48
2005,3313,Transportation,139,CN,2025-11-28 17:21:48
2005,1802,Information Systems and Management,138,CN,2025-11-28 17:21:48
2005,2735,"Pediatrics, Perinatology and Child Health",136,CN,2025-11-28 17:21:48
2005,3303,Development,131,CN,2025-11-28 17:21:48
2005,2721,Hepatology,127,CN,2025-11-28 17:21:48
2005,1402,Accounting,117,CN,2025-11-28 17:21:48
2005,3612,"Physical Therapy, Sports Therapy and Rehabilitation",115,CN,2025-11-28 17:21:48
2005,2704,Biochemistry,113,CN,2025-11-28 17:21:48
2005,2806,Developmental Neuroscience,113,CN,2025-11-28 17:21:48
2005,1508,Process Chemistry and Technology,105,CN,2025-11-28 17:21:48
2005,1506,Filtration and Separation,98,CN,2025-11-28 17:21:48
2005,1904,Earth-Surface Processes,97,CN,2025-11-28 17:21:48
2005,1102,Agronomy and Crop Science,96,CN,2025-11-28 17:21:48
2005,3005,Toxicology,96,CN,2025-11-28 17:21:48
2005,3505,Orthodontics,93,CN,2025-11-28 17:21:48
2005,1210,Music,89,CN,2025-11-28 17:21:48
2005,3311,Safety Research,87,CN,2025-11-28 17:21:48
2005,1911,Paleontology,85,CN,2025-11-28 17:21:48
2005,3317,Demography,85,CN,2025-11-28 17:21:48
2005,1104,Aquatic Science,83,CN,2025-11-28 17:21:48
2005,2743,Reproductive Medicine,80,CN,2025-11-28 17:21:48
2005,1314,Physiology,78,CN,2025-11-28 17:21:48
2005,2309,Nature and Landscape Conservation,78,CN,2025-11-28 17:21:48
2005,3322,Urban Studies,77,CN,2025-11-28 17:21:48
2005,3204,Developmental and Educational Psychology,72,CN,2025-11-28 17:21:48
2005,2748,Urology,69,CN,2025-11-28 17:21:48
2005,3320,Political Science and International Relations,69,CN,2025-11-28 17:21:48
2005,1310,Endocrinology,68,CN,2025-11-28 17:21:48
2005,2602,Algebra and Number Theory,68,CN,2025-11-28 17:21:48
2005,1111,Soil Science,66,CN,2025-11-28 17:21:48
2005,2103,Fuel Technology,65,CN,2025-11-28 17:21:48
2005,1208,Literature and Literary Theory,62,CN,2025-11-28 17:21:48
2005,1403,Business and International Management,61,CN,2025-11-28 17:21:48
2005,2742,Rehabilitation,57,CN,2025-11-28 17:21:48
2005,2809,Sensory Systems,55,CN,2025-11-28 17:21:48
2005,2738,Psychiatry and Mental health,54,CN,2025-11-28 17:21:48
2005,1408,Strategy and Management,51,CN,2025-11-28 17:21:48
2005,2406,Virology,50,CN,2025-11-28 17:21:48
2005,2727,Nephrology,48,CN,2025-11-28 17:21:48
2005,3318,Gender Studies,48,CN,2025-11-28 17:21:48
2005,2708,Dermatology,46,CN,2025-11-28 17:21:48
2005,1406,Marketing,45,CN,2025-11-28 17:21:48
2005,1204,Archeology,44,CN,2025-11-28 17:21:48
2005,3308,Law,44,CN,2025-11-28 17:21:48
2005,3604,Emergency Medical Services,43,CN,2025-11-28 17:21:48
2005,3315,Communication,40,CN,2025-11-28 17:21:48
2005,2711,Emergency Medicine,39,CN,2025-11-28 17:21:48
2005,2729,Obstetrics and Gynecology,39,CN,2025-11-28 17:21:48
2005,3102,Acoustics and Ultrasonics,38,CN,2025-11-28 17:21:48
2005,2003,Finance,35,CN,2025-11-28 17:21:48
2005,3404,Small Animals,35,CN,2025-11-28 17:21:48
2005,2405,Parasitology,32,CN,2025-11-28 17:21:48
2005,3616,Speech and Hearing,32,CN,2025-11-28 17:21:48
2005,2807,Endocrine and Autonomic Systems,30,CN,2025-11-28 17:21:48
2005,3607,Medical Laboratory Technology,30,CN,2025-11-28 17:21:48
2005,2402,Applied Microbiology and Biotechnology,28,CN,2025-11-28 17:21:48
2005,2717,Geriatrics and Gerontology,28,CN,2025-11-28 17:21:48
2005,3316,Cultural Studies,27,CN,2025-11-28 17:21:48
2005,3506,Periodontics,27,CN,2025-11-28 17:21:48
2005,1315,Structural Biology,25,CN,2025-11-28 17:21:48
2005,1202,History,24,CN,2025-11-28 17:21:48
2005,1706,Computer Science Applications,23,CN,2025-11-28 17:21:48
2005,3605,Health Information Management,23,CN,2025-11-28 17:21:48
2005,2706,Critical Care and Intensive Care Medicine,22,CN,2025-11-28 17:21:48
2005,3614,Radiological and Ultrasound Technology,20,CN,2025-11-28 17:21:48
2005,2715,Gastroenterology,18,CN,2025-11-28 17:21:48
2005,1206,Conservation,17,CN,2025-11-28 17:21:48
2005,3203,Clinical Psychology,17,CN,2025-11-28 17:21:48
2005,1213,Visual Arts and Performing Arts,16,CN,2025-11-28 17:21:48
2005,2733,Otorhinolaryngology,16,CN,2025-11-28 17:21:48
2005,2702,Anatomy,15,CN,2025-11-28 17:21:48
2005,3611,Pharmacy,13,CN,2025-11-28 17:21:48
2006,2207,Control and Systems Engineering,41380,CN,2025-11-28 17:21:48
2006,2208,Electrical and Electronic Engineering,40599,CN,2025-11-28 17:21:48
2006,1702,Artificial Intelligence,27211,CN,2025-11-28 17:21:48
2006,1312,Molecular Biology,23669,CN,2025-11-28 17:21:48
2006,2210,Mechanical Engineering,22774,CN,2025-11-28 17:21:48
2006,2505,Materials Chemistry,22219,CN,2025-11-28 17:21:48
2006,2204,Biomedical Engineering,17148,CN,2025-11-28 17:21:48
2006,2211,Mechanics of Materials,17045,CN,2025-11-28 17:21:48
2006,1707,Computer Vision and Pattern Recognition,11540,CN,2025-11-28 17:21:48
2006,2202,Aerospace Engineering,11246,CN,2025-11-28 17:21:48
2006,1710,Information Systems,9611,CN,2025-11-28 17:21:48
2006,1705,Computer Networks and Communications,8765,CN,2025-11-28 17:21:48
2006,3107,"Atomic and Molecular Physics, and Optics",7336,CN,2025-11-28 17:21:48
2006,2206,Computational Mechanics,6016,CN,2025-11-28 17:21:48
2006,2213,"Safety, Risk, Reliability and Quality",5128,CN,2025-11-28 17:21:48
2006,2205,Civil and Structural Engineering,5088,CN,2025-11-28 17:21:48
2006,2504,"Electronic, Optical and Magnetic Materials",4697,CN,2025-11-28 17:21:48
2006,2507,Polymers and Plastics,3715,CN,2025-11-28 17:21:48
2006,1605,Organic Chemistry,3710,CN,2025-11-28 17:21:48
2006,1711,Signal Processing,3484,CN,2025-11-28 17:21:48
2006,2212,Ocean Engineering,3215,CN,2025-11-28 17:21:48
2006,1703,Computational Theory and Mathematics,3174,CN,2025-11-28 17:21:48
2006,2209,Industrial and Manufacturing Engineering,2979,CN,2025-11-28 17:21:48
2006,1110,Plant Science,2703,CN,2025-11-28 17:21:48
2006,2102,Energy Engineering and Power Technology,2634,CN,2025-11-28 17:21:48
2006,2214,Media Technology,2500,CN,2025-11-28 17:21:48
2006,2200,General Engineering,2291,CN,2025-11-28 17:21:48
2006,1604,Inorganic Chemistry,2147,CN,2025-11-28 17:21:48
2006,1902,Atmospheric Science,2130,CN,2025-11-28 17:21:48
2006,2502,Biomaterials,1987,CN,2025-11-28 17:21:48
2006,1607,Spectroscopy,1971,CN,2025-11-28 17:21:48
2006,2503,Ceramics and Composites,1835,CN,2025-11-28 17:21:48
2006,2105,"Renewable Energy, Sustainability and the Environment",1798,CN,2025-11-28 17:21:48
2006,1311,Genetics,1696,CN,2025-11-28 17:21:48
2006,2741,"Radiology, Nuclear Medicine and Imaging",1607,CN,2025-11-28 17:21:48
2006,2312,Water Science and Technology,1598,CN,2025-11-28 17:21:48
2006,2203,Automotive Engineering,1592,CN,2025-11-28 17:21:48
2006,2730,Oncology,1588,CN,2025-11-28 17:21:48
2006,1306,Cancer Research,1482,CN,2025-11-28 17:21:48
2006,2746,Surgery,1343,CN,2025-11-28 17:21:48
2006,1503,Catalysis,1289,CN,2025-11-28 17:21:48
2006,2215,Building and Construction,1275,CN,2025-11-28 17:21:48
2006,1906,Geochemistry and Petrology,1265,CN,2025-11-28 17:21:48
2006,3104,Condensed Matter Physics,1264,CN,2025-11-28 17:21:48
2006,1602,Analytical Chemistry,1251,CN,2025-11-28 17:21:48
2006,1305,Biotechnology,1221,CN,2025-11-28 17:21:48
2006,2403,Immunology,1196,CN,2025-11-28 17:21:48
2006,3109,Statistical and Nonlinear Physics,1187,CN,2025-11-28 17:21:48
2006,1708,Hardware and Architecture,1169,CN,2025-11-28 17:21:48
2006,2311,Industrial and Manufacturing Engineering,1136,CN,2025-11-28 17:21:48
2006,2736,Pharmacology,1087,CN,2025-11-28 17:21:48
2006,1908,Geophysics,1081,CN,2025-11-28 17:21:48
2006,2508,"Surfaces, Coatings and Films",1019,CN,2025-11-28 17:21:48
2006,2302,Ecological Modeling,1004,CN,2025-11-28 17:21:48
2006,2740,Pulmonary and Respiratory Medicine,996,CN,2025-11-28 17:21:48
2006,2002,Economics and Econometrics,983,CN,2025-11-28 17:21:48
2006,3304,Education,921,CN,2025-11-28 17:21:48
2006,1106,Food Science,919,CN,2025-11-28 17:21:48
2006,1502,Bioengineering,912,CN,2025-11-28 17:21:48
2006,3312,Sociology and Political Science,882,CN,2025-11-28 17:21:48
2006,2303,Ecology,878,CN,2025-11-28 17:21:48
2006,2707,Complementary and alternative medicine,872,CN,2025-11-28 17:21:48
2006,1907,Geology,858,CN,2025-11-28 17:21:48
2006,2804,Cellular and Molecular Neuroscience,817,CN,2025-11-28 17:21:48
2006,1803,Management Science and Operations Research,805,CN,2025-11-28 17:21:48
2006,3004,Pharmacology,787,CN,2025-11-28 17:21:48
2006,1307,Cell Biology,784,CN,2025-11-28 17:21:48
2006,1603,Electrochemistry,747,CN,2025-11-28 17:21:48
2006,2734,Pathology and Forensic Medicine,720,CN,2025-11-28 17:21:48
2006,3103,Astronomy and Astrophysics,716,CN,2025-11-28 17:21:48
2006,2737,Physiology,713,CN,2025-11-28 17:21:48
2006,1704,Computer Graphics and Computer-Aided Design,695,CN,2025-11-28 17:21:48
2006,1507,Fluid Flow and Transfer Processes,640,CN,2025-11-28 17:21:48
2006,2713,Epidemiology,622,CN,2025-11-28 17:21:48
2006,2604,Applied Mathematics,616,CN,2025-11-28 17:21:48
2006,2705,Cardiology and Cardiovascular Medicine,612,CN,2025-11-28 17:21:48
2006,3106,Nuclear and High Energy Physics,596,CN,2025-11-28 17:21:48
2006,2310,Pollution,572,CN,2025-11-28 17:21:48
2006,1405,Management of Technology and Innovation,548,CN,2025-11-28 17:21:48
2006,1910,Oceanography,537,CN,2025-11-28 17:21:48
2006,2305,Environmental Engineering,524,CN,2025-11-28 17:21:48
2006,2304,Environmental Chemistry,517,CN,2025-11-28 17:21:48
2006,1105,"Ecology, Evolution, Behavior and Systematics",513,CN,2025-11-28 17:21:48
2006,2611,Modeling and Simulation,507,CN,2025-11-28 17:21:48
2006,1606,Physical and Theoretical Chemistry,500,CN,2025-11-28 17:21:48
2006,2500,General Materials Science,497,CN,2025-11-28 17:21:48
2006,2612,Numerical Analysis,490,CN,2025-11-28 17:21:48
2006,1404,Management Information Systems,471,CN,2025-11-28 17:21:48
2006,3108,Radiation,465,CN,2025-11-28 17:21:48
2006,1407,Organizational Behavior and Human Resource Management,434,CN,2025-11-28 17:21:48
2006,2731,Ophthalmology,424,CN,2025-11-28 17:21:48
2006,1203,Language and Linguistics,414,CN,2025-11-28 17:21:48
2006,1303,Biochemistry,403,CN,2025-11-28 17:21:48
2006,2916,Nutrition and Dietetics,403,CN,2025-11-28 17:21:48
2006,2610,Mathematical Physics,391,CN,2025-11-28 17:21:48
2006,2805,Cognitive Neuroscience,384,CN,2025-11-28 17:21:48
2006,2306,Global and Planetary Change,381,CN,2025-11-28 17:21:48
2006,1304,Biophysics,364,CN,2025-11-28 17:21:48
2006,2739,"Public Health, Environmental and Occupational Health",361,CN,2025-11-28 17:21:48
2006,3105,Instrumentation,361,CN,2025-11-28 17:21:48
2006,1804,"Statistics, Probability and Uncertainty",338,CN,2025-11-28 17:21:48
2006,3305,"Geography, Planning and Development",327,CN,2025-11-28 17:21:48
2006,1109,Insect Science,316,CN,2025-11-28 17:21:48
2006,2308,"Management, Monitoring, Policy and Law",307,CN,2025-11-28 17:21:48
2006,2712,"Endocrinology, Diabetes and Metabolism",292,CN,2025-11-28 17:21:48
2006,2808,Neurology,283,CN,2025-11-28 17:21:48
2006,2613,Statistics and Probability,280,CN,2025-11-28 17:21:48
2006,1709,Human-Computer Interaction,279,CN,2025-11-28 17:21:48
2006,3003,Pharmaceutical Science,273,CN,2025-11-28 17:21:48
2006,3504,Oral Surgery,262,CN,2025-11-28 17:21:48
2006,2745,Rheumatology,260,CN,2025-11-28 17:21:48
2006,2716,Genetics,257,CN,2025-11-28 17:21:48
2006,2506,Metals and Alloys,254,CN,2025-11-28 17:21:48
2006,1103,Animal Science and Zoology,250,CN,2025-11-28 17:21:48
2006,2307,"Health, Toxicology and Mutagenesis",250,CN,2025-11-28 17:21:48
2006,3313,Transportation,248,CN,2025-11-28 17:21:48
2006,3207,Social Psychology,239,CN,2025-11-28 17:21:48
2006,2732,Orthopedics and Sports Medicine,220,CN,2025-11-28 17:21:48
2006,1712,Software,219,CN,2025-11-28 17:21:48
2006,2608,Geometry and Topology,219,CN,2025-11-28 17:21:48
2006,2607,Discrete Mathematics and Combinatorics,217,CN,2025-11-28 17:21:48
2006,2720,Hematology,215,CN,2025-11-28 17:21:48
2006,1313,Molecular Medicine,202,CN,2025-11-28 17:21:48
2006,2725,Infectious Diseases,202,CN,2025-11-28 17:21:48
2006,2728,Neurology,197,CN,2025-11-28 17:21:48
2006,3205,Experimental and Cognitive Psychology,196,CN,2025-11-28 17:21:48
2006,1802,Information Systems and Management,193,CN,2025-11-28 17:21:48
2006,2721,Hepatology,190,CN,2025-11-28 17:21:48
2006,2735,"Pediatrics, Perinatology and Child Health",189,CN,2025-11-28 17:21:48
2006,1308,Clinical Biochemistry,186,CN,2025-11-28 17:21:48
2006,2404,Microbiology,186,CN,2025-11-28 17:21:48
2006,2723,Immunology and Allergy,182,CN,2025-11-28 17:21:48
2006,2704,Biochemistry,174,CN,2025-11-28 17:21:48
2006,1508,Process Chemistry and Technology,148,CN,2025-11-28 17:21:48
2006,3303,Development,148,CN,2025-11-28 17:21:48
2006,1402,Accounting,142,CN,2025-11-28 17:21:48
2006,2743,Reproductive Medicine,141,CN,2025-11-28 17:21:48
2006,1102,Agronomy and Crop Science,136,CN,2025-11-28 17:21:48
2006,1314,Physiology,132,CN,2025-11-28 17:21:48
2006,2806,Developmental Neuroscience,123,CN,2025-11-28 17:21:48
2006,3317,Demography,122,CN,2025-11-28 17:21:48
2006,3005,Toxicology,121,CN,2025-11-28 17:21:48
2006,1904,Earth-Surface Processes,118,CN,2025-11-28 17:21:48
2006,3505,Orthodontics,115,CN,2025-11-28 17:21:48
2006,1506,Filtration and Separation,110,CN,2025-11-28 17:21:48
2006,3612,"Physical Therapy, Sports Therapy and Rehabilitation",109,CN,2025-11-28 17:21:48
2006,1104,Aquatic Science,106,CN,2025-11-28 17:21:48
2006,2748,Urology,106,CN,2025-11-28 17:21:48
2006,3311,Safety Research,106,CN,2025-11-28 17:21:48
2006,1210,Music,105,CN,2025-11-28 17:21:48
2006,2103,Fuel Technology,99,CN,2025-11-28 17:21:48
2006,3322,Urban Studies,99,CN,2025-11-28 17:21:48
2006,1310,Endocrinology,96,CN,2025-11-28 17:21:48
2006,3204,Developmental and Educational Psychology,96,CN,2025-11-28 17:21:48
2006,1911,Paleontology,88,CN,2025-11-28 17:21:48
2006,2309,Nature and Landscape Conservation,87,CN,2025-11-28 17:21:48
2006,2602,Algebra and Number Theory,86,CN,2025-11-28 17:21:48
2006,2727,Nephrology,86,CN,2025-11-28 17:21:48
2006,1406,Marketing,81,CN,2025-11-28 17:21:48
2006,3320,Political Science and International Relations,80,CN,2025-11-28 17:21:48
2006,1208,Literature and Literary Theory,78,CN,2025-11-28 17:21:48
2006,1111,Soil Science,72,CN,2025-11-28 17:21:48
2006,2809,Sensory Systems,71,CN,2025-11-28 17:21:48
2006,1408,Strategy and Management,70,CN,2025-11-28 17:21:48
2006,3308,Law,68,CN,2025-11-28 17:21:48
2006,2738,Psychiatry and Mental health,65,CN,2025-11-28 17:21:48
2006,1403,Business and International Management,64,CN,2025-11-28 17:21:48
2006,2742,Rehabilitation,63,CN,2025-11-28 17:21:48
2006,3315,Communication,62,CN,2025-11-28 17:21:48
2006,2003,Finance,60,CN,2025-11-28 17:21:48
2006,2708,Dermatology,57,CN,2025-11-28 17:21:48
2006,2406,Virology,56,CN,2025-11-28 17:21:48
2006,1204,Archeology,54,CN,2025-11-28 17:21:48
2006,3318,Gender Studies,54,CN,2025-11-28 17:21:48
2006,3604,Emergency Medical Services,50,CN,2025-11-28 17:21:48
2006,3616,Speech and Hearing,48,CN,2025-11-28 17:21:48
2006,3404,Small Animals,45,CN,2025-11-28 17:21:48
2006,3607,Medical Laboratory Technology,44,CN,2025-11-28 17:21:48
2006,1706,Computer Science Applications,42,CN,2025-11-28 17:21:48
2006,2729,Obstetrics and Gynecology,42,CN,2025-11-28 17:21:48
2006,1315,Structural Biology,40,CN,2025-11-28 17:21:48
2006,2711,Emergency Medicine,40,CN,2025-11-28 17:21:48
2006,3605,Health Information Management,40,CN,2025-11-28 17:21:48
2006,2807,Endocrine and Autonomic Systems,39,CN,2025-11-28 17:21:48
2006,3102,Acoustics and Ultrasonics,38,CN,2025-11-28 17:21:48
2006,2717,Geriatrics and Gerontology,37,CN,2025-11-28 17:21:48
2006,2405,Parasitology,36,CN,2025-11-28 17:21:48
2006,2747,Transplantation,29,CN,2025-11-28 17:21:48
2006,2733,Otorhinolaryngology,27,CN,2025-11-28 17:21:48
2006,3316,Cultural Studies,27,CN,2025-11-28 17:21:48
2006,1213,Visual Arts and Performing Arts,26,CN,2025-11-28 17:21:48
2006,2000,"General Economics, Econometrics and Finance",26,CN,2025-11-28 17:21:48
2006,2706,Critical Care and Intensive Care Medicine,26,CN,2025-11-28 17:21:48
2006,2803,Biological Psychiatry,24,CN,2025-11-28 17:21:48
2006,3506,Periodontics,23,CN,2025-11-28 17:21:48
2006,2702,Anatomy,22,CN,2025-11-28 17:21:48
2006,2715,Gastroenterology,22,CN,2025-11-28 17:21:48
2006,1202,History,21,CN,2025-11-28 17:21:48
2006,3203,Clinical Psychology,21,CN,2025-11-28 17:21:48
2006,3310,Linguistics and Language,21,CN,2025-11-28 17:21:48
2007,2207,Control and Systems Engineering,48889,CN,2025-11-28 17:21:48
2007,2208,Electrical and Electronic Engineering,48121,CN,2025-11-28 17:21:48
2007,1702,Artificial Intelligence,32204,CN,2025-11-28 17:21:48
2007,1312,Molecular Biology,30385,CN,2025-11-28 17:21:48
2007,2210,Mechanical Engineering,28536,CN,2025-11-28 17:21:48
2007,2505,Materials Chemistry,27314,CN,2025-11-28 17:21:48
2007,2211,Mechanics of Materials,22218,CN,2025-11-28 17:21:48
2007,2204,Biomedical Engineering,21278,CN,2025-11-28 17:21:48
2007,2202,Aerospace Engineering,13486,CN,2025-11-28 17:21:48
2007,1707,Computer Vision and Pattern Recognition,13240,CN,2025-11-28 17:21:48
2007,1710,Information Systems,11950,CN,2025-11-28 17:21:48
